Source:,LMS8001_Companion_3v2,,,,,,,,,,
Component Count:,350,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Collated Components:,,,,,,,,,,,
,,,,,,,,,,,
Item,Component Value,Qty,Reference(s),Footprint,Value,Assemble,Description,Manufacturer,Manufacturer Part Number,Vendor,Vendor Part Number
1,1uF,24,"C1, C2, C3, C5, C6, C7, C9, C11, C12, C13, C15, C16, C17, C18, C21, C22, C23, C24, C26, C27, C131, C132, C133, C134",LMS8001_KiCAD_Library:SMD0201,1UF_0201_TDK_X5R,,CAP CER 1UF 6.3V 20% X5R 0201,TDK,C0603X5R0J105M030BC,Digi-Key,445-8008-1-ND
2,1nF,11,"C4, C8, C10, C14, C19, C20, C25, C141, C142, C145, C146",LMS8001_KiCAD_Library:SMD0201,1NF_0201,,CAP CER 1000PF 25V 10% X7R 0201,TDK Corporation,C0603X7R1E102K030BA,Digi-Key,445-7275-1-ND
3,100nF,25,"C28, C31, C33, C34, C36, C38, C39, C40, C41, C73, C74, C75, C79, C84, C85, C89, C100, C159, C162, C164, C171, C172, C173, C176, C178",LMS8001_KiCAD_Library:SMD0402,100NF_0402,,"CAP, CER, 0.1UF, 16V, Y5V, 0402,",Yageo,CC0402ZRY5V7BB104,DigiKey,311-1047-1-ND
4,22pF,2,"C29, C30",LMS8001_KiCAD_Library:SMD0402,22PF_0402,,"CAP CER, 22PF, 50V, 5%, NPO, 0402,",Yageo,CC0402JRNPO9BN220,DigiKey,311-1018-1-ND
5,3.9nF,1,C32,LMS8001_KiCAD_Library:SMD0402,3.9NF_0402,,CAP CER 3900PF 50V 5% X7R 0402,"Samsung Electro-Mechanics America, Inc",CL05B392JB5NNNC,DigiKey,1276-1561-1-ND
6,10uF,6,"C35, C42, C66, C77, C81, C86",LMS8001_KiCAD_Library:SMD0603,10UF_0603,,"CAP, CER, 10UF, 6.3V, 20%, X5R, 0603,",Yageo,CC0603MRX5R5BB106,Digi-Key,311-1448-1-ND
7,1uF,9,"C37, C51, C52, C53, C54, C55, C58, C63, C65",LMS8001_KiCAD_Library:SMD0402,1UF_0402,,"CAP, CER, 1UF, 6.3V, Y5V, 0402,",Yageo,CC0402ZRY5V5BB105,Digi-Key,311-1377-1-ND
8,10uF,1,C57,LMS8001_KiCAD_Library:SMD1206,10uF_1206,,"CAP, CER, 10UF, 16V, Y5V, 1206,",Yageo,CC1206ZKY5V7BB106,Digi-Key,311-1376-1-ND
9,1uF,2,"C59, C82",LMS8001_KiCAD_Library:SMD0603,1UF_0603,,CAP_CER_1UF_25V_X5R_0603,Murata,GRM188R61E105KA12D,Digi-Key,490-3897-1-ND
10,4.7uF,4,"C60, C61, C62, C64",LMS8001_KiCAD_Library:SMD0402,4.7UF_0402,,CAP_CER_4.7UF_6.3V_X5R_0402,Murata_Electronics_North_America,GRM155R60J475ME87D,DigiKey,490-5408-1-ND
11,100nF,1,C67,LMS8001_KiCAD_Library:SMD0402,100nF_0402_NF,NF,"CAP, CER, 0.1UF, 16V, Y5V, 0402,",Yageo,CC0402ZRY5V7BB104,DigiKey,311-1047-1-ND
12,1nF,4,"C68, C163, C166, C174",LMS8001_KiCAD_Library:SMD0402,1NF_0402,,CAP CER 1000PF 50V 10% X7R 0402,Murrata Electronics,GCM155R71H102KA37D,Mouser,81-GCM155R71H102KA7D
13,1.2nF,1,C69,LMS8001_KiCAD_Library:SMD0402,1.2nF_0402_NF,NF,Multilayer_Ceramic_Capacitors_MLCC_-_SMD/SMT_0402_1200pF_50volts_X7R_10%,Murata_Electronics,GRM155R71H122KA01D,Mouser,81-GRM15R71H122KA01D
14,470nF,1,C70,LMS8001_KiCAD_Library:SMD0402,470NF_0402,,Multilayer_Ceramic_Capacitors_MLCC_-_SMD/SMT,Murata_Electronics,GRM155R61A474KE15D,Mouser,81-GRM155R61A474KE5D
15,68nF,1,C72,LMS8001_KiCAD_Library:SMD0402,68NF_0402,,Multilayer_Ceramic_Capacitors_MLCC_-_SMD/SMT,Murata_Electronics,GRM155R71H683ME14D,Mouser,81-GRM155R71H683ME4D
16,10pF,1,C76,LMS8001_KiCAD_Library:SMD0402,10PF_0402,,"CAP, CER, 10PF, 25V, 5%, NPO, 0402,",AVX Corporation,04023A100JAT2A,Farnell,2332478RL
17,220pF,1,C80,LMS8001_KiCAD_Library:SMD0402,220PF_0402,,"CAP CER, 220PF, 50V, 10%, X7R, 0402,",Yageo,CC0402KRX7R9BB221,DigiKey,311-1035-2-ND
18,10pF,3,"C94, C101, C102",LMS8001_KiCAD_Library:SMD0201,10pF_0201,,CAP_CER_10PF_50V_C0G_0201,TDK Corporation,C0603C0G1H100D030BA,Digi-Key,445-1769-1-ND
19,18nF,1,C99,LMS8001_KiCAD_Library:SMD0402,18NF_0402,,CAP_CER_0.018UF_16V_X7R_0402,Yageo,CC0402KRX7R7BB183,DigiKey,311-1706-1-ND
20,10.0pF,13,"C103, C104, C106, C119, C120, C123, C124, C137, C138, C143, C144, C147, C150",LMS8001_KiCAD_Library:SMD0201,10.0pF_0201,,CAP_CER_10.0PF_25V_C0G_0201,Murata_Electronics,GRM0335C1H100JA01J,Digi-Key,490-17811-1-ND
21,0.9pF,2,"C105, C148",LMS8001_KiCAD_Library:SMD0201,0.9pF_0201,,CAP_CER_0.9PF_25V_C0G_0201,Murata_Electronics,GRM0335C1HR90BA01D,Digi-Key,490-11350-2-ND
22,0.5pF,3,"C107, C109, C152",LMS8001_KiCAD_Library:SMD0201,0.5pF_0201,,CAP_CER_0.5PF_25V_C0G_0201,Murata_Electronics,GJM0335C1ER50BB01D,Digi-Key,490-6069-1-ND
23,NF cap,20,"C108, C110, C111, C112, C113, C114, C115, C116, C117, C118, C127, C128, C129, C130, C151, C153, C154, C156, C157, C158",LMS8001_KiCAD_Library:SMD0201,cap_0201_NF,NF,,,,,
24,0.2pF,2,"C125, C126",LMS8001_KiCAD_Library:SMD0201,0.2pF_0201,,CAP_CER_0.2PF_25V_C0G_0201,Murata_Electronics,GRM0335C1HR20BA01D,Digi-Key,490-6134-2-ND
25,1.2pF,2,"C135, C136",LMS8001_KiCAD_Library:SMD0201,1.2pF_0201,,CAP_CER_1.2PF_25V_C0G_0201,Murata_Electronics,GRM0335C1H1R2CA01D,Digi-Key,490-6119-2-ND
26,0.1pF,2,"C139, C140",LMS8001_KiCAD_Library:SMD0201,0.1pF_0201,,CAP_CER_0.1PF_25V_C0G_0201,Murata_Electronics,GRM0335C1ER10WA01D,Digi-Key,490-6109-2-ND
27,2pF,1,C149,LMS8001_KiCAD_Library:SMD0201,2pF_0201,,CAP_CER_2PF_25V_C0G_0201,Murata_Electronics,GJM0335C1E2R0CB01D,Digi-Key,490-3060-1-ND
28,10uF,3,"C160, C200, C201",LMS8001_KiCAD_Library:SMD0603,10UF_0603,,"CAP, CER, 10UF, 6.3V, 20%, X5R, 0603,",Murrata Electronics,GRM188R61C106MA73D,Digi-Key,490-7201-2-ND
29,0.4pF,1,C161,LMS8001_KiCAD_Library:SMD0201,0.4PF_0201,,CAP_CER_0.40PF_25V_NP0_0201,Murata_Electronics,GJM0335C1ER40WB01D,Digi-Key,490-8074-1-ND
30,10nF,4,"C165, C168, C175, C177",LMS8001_KiCAD_Library:SMD0402,10NF_0402,,Multilayer_Ceramic_Capacitors_MLCC_-_SMD/SMT_0.01uF_25Volts_X7R_10%_,Murata_Electronics,GCM155R71E103KA37D,Mouser,81-GCM155R71E103KA7D
31,0.3pF,1,C401,LMS8001_KiCAD_Library:SMD0201,0.3pF_0201,,CAP_CER_0.3PF_25V_C0G_0201,Murata_Electronics,GRM0335C1HR30BA01D,Digi-Key,490-6135-2-ND
32,600 Ohm @100MHz,19,"FB1, FB2, FB3, FB4, FB5, FB6, FB7, FB8, FB9, FB10, FB11, FB12, FB13, FB14, FB15, FB25, FB26, FB27, FB28",LMS8001_KiCAD_Library:SMD0201,FB_0201,,FERRITE BEAD 600 OHM 0201,Taiyo Yuden,BK0603TS601-T,Digi-Key,587-3277-1-ND
33,600omh/100MHz/2A,1,FB16,LMS8001_KiCAD_Library:SMD0805,FB_600R_2A_0805,,"FERRITE CHIP BEAD, 600 OHM, SMD,",TDK Corporation,MPZ2012S601AT000,Digi-Key,445-2206-1-ND
34,"60 Ohm @100MHz, 1A",5,"FB17, FB18, FB19, FB20, FB21",LMS8001_KiCAD_Library:SMD0805,FB_60R_0805,,"FERRITE CHIP, BEAD, 60 OHM, SMD,",TDK Corporation,MMZ2012Y600B,Digi-Key,445-2204-1-ND
35,"600 Ohm @ 100MHz, 0.3A",1,FB22,LMS8001_KiCAD_Library:SMD0402,FB_600R_0402,,"FERRITE CHIP BEAD, 600 OHM, SMD,",TDK Corporation,MMZ1005S601C,Digi-Key,445-2162-1-ND
36,600_Ohm_@_100MHz_500mA,1,FB29,LMS8001_KiCAD_Library:SMD0603,BLM18EG601SN1D,,FERRITE_BEAD_600_OHM_0603_1LN_,Murata_Electronics,BLM18EG601SN1D,Digi-Key,490-3994-2-ND
37,12402143E512A,1,J1,LMS8001_KiCAD_Library:AMPHENOL_12402143E512A,12402143E512A,,"USB4 GEN3, TYPE C, TOP MOUNT, CE",Amphenol,12402143E512A,,
38,pin_header_1x3,1,J2,LMS8001_KiCAD_Library:pin_header_1x3,pin_header_1x3,,"BERGSTIK II .100"" SR STRAIGHT",FCI,68000-103HLF,Digi-Key,609-3461-ND
39,SMA_vert_SMD,1,J3,LMS8001_KiCAD_Library:SMA_vert_SMD,SMA_vert_SMD,,SMA JACK 50 OHM VERT SMD,Molex Inc,732511352,Digi-Key,WM9458-ND
40,SMA_H,4,"J4, J7, J8, J9",LMS8001_KiCAD_Library:SMA_H,SMA_H,,"CONN, SMA, JACK, 50 OHM, EDGE MNT,",Emerson Network Power Connectivity Johnson,142-0701-851,Digi-Key,J658-ND
41,UMC_SMD,5,"J5, J6, J10, J11, J13",LMS8001_KiCAD_Library:UMC_SMD,UMC_SMD,,CONN_UMC_RCPT_STR_50_OHM_SMD,Molex_LLC,734120110,Digi-Key,WM5587CT-ND
42,PINHEADER_2X3,1,JP1,LMS8001_KiCAD_Library:PINHEADER_2X3,PINHEADER_2X3,,"CONN HEADER 6POS .100"" VERT TIN",Molex Inc,15912060,Digi-Key,WM17449-ND
43,NF ind,3,"L1, L3, L4",LMS8001_KiCAD_Library:SMD0201,ind_0201_NF,NF,,,,,
44,1.6nH,1,L2,LMS8001_KiCAD_Library:SMD0201,1.6nH_SMD0201,,1.6 nH Unshielded Thick Film Inductor 600 mA 150mOhm Max 0201 (0603 Metric),Murata,LQP03TN1N6B02D,Digikey,490-6719-2-ND
45,0R,21,"L5, L7, L9, L11, R38, R40, R42, R43, R50, R52, R53, R54, R56, R63, R68, R107, R109, R110, R115, R116, R201",LMS8001_KiCAD_Library:IND_0402,0R_0402,,"RES, 0.0 OHM,1/16W, JUMP, 0402 SMD,",Yageo,RC0402JR-070RL,Digi-Key,311-0.0JRCT-ND
46,8.2nH,4,"L6, L8, L10, L12",LMS8001_KiCAD_Library:IND_0402,5.6nH,,"Inductor, 8.2 nH, 0402, 5%,",Coilcraft,0402HP-8N2XJLU,Coilcraft,0402HP-8N2XJLU
47,1.9nH,2,"L14, L15",LMS8001_KiCAD_Library:SMD0201,1.9nH_SMD0201,,1.9 nH Unshielded Thick Film Inductor 600 mA 150mOhm Max 0201 (0603 Metric),Murata,LQP03TN1N9B02D,Digikey,490-12784-2-ND
48,Green,5,"LD1, LD2, LD3, LD4, LD5",LMS8001_KiCAD_Library:LED_0603,LED,,"LED, CHIPLED, 570NM, GREEN, 0603, SMD,",OSRAM Opto Semiconductors Inc,LG Q971-KN-1,Digi-Key,475-1409-1-ND
49,Green,1,LD6,LMS8001_KiCAD_Library:LED_0603,LED,,"LED, CHIPLED, 570NM, GREEN, 0603, SMD,",Avago Technologies,HSMG-C190,Digi-Key,516-1425-2-ND
50,CONN_1,6,"P1, P12, P13, P14, P15, P16",CONN_1,CONN_1,,,,,,
51,MCU_SWD,2,"P2, P3",LMS8001_KiCAD_Library:HDRGPIO,MCU_SWD,,CONN HDR 1.27MM SMD AU 10POS,Harwin Inc.,M50-3600542,Digikey,952-1389-ND
52,0R,9,"R1, R46, R47, R91, R92, R94, R95, R96, R97",LMS8001_KiCAD_Library:SMD0201,0R_0201,,RES 0.0 OHM 1/20W JUMP 0201 SMD,Rohm Semiconductor,MCR006YRTJ000,Digi-Key,RHM0.0CCCT-ND
53,10K,5,"R2, R18, R19, R20, R41",LMS8001_KiCAD_Library:SMD0402,10K_0402,,RES 10K OHM 1/16W 1% 0402,Stackpole Electronics Inc,RMCF0402FT10K0,Digi-Key,RMCF0402FT10K0CT-ND
54,10K,7,"R3, R10, R11, R12, R14, R15, R70",LMS8001_KiCAD_Library:SMD0402,10K_0402,,RES 10K OHM 1/16W 5% 0402,Yageo,RC0402JR-0710KL,Digi-Key,311-10KJRCT-ND
